S.no,Dataset,Category,Modality,Pairs or images,Description,Download / Main link,Extra link / notes
1,allweather - TRANSWEATHER,Multi-weather (rain+snow),RGB,~19,000 images,"9,000 images sampled from Snow100K, 1,069 from Raindrop, and 9,000 Outdoor-Rain images aggregated for all-weather restoration.",https://drive.google.com/file/d/1tfeBnjZX1wIhIFPl6HOzzOKOyo0GdGHl/view,"Subset of Snow100K and raindrop/rain datasets already in literature."[file:1]
2,Foggy_Cityscapes,Fog/haze,RGB,1,500 images,"Cityscapes-derived synthetic fog dataset: 500 dense fog, 500 medium fog, 500 clear reference images.",https://www.kaggle.com/datasets/yessicatuteja/foggy-cityscapes-image-dataset,"Common benchmark for foggy driving scene understanding."[file:1]
3,Fuji2025 (SID),Low light,RAW+RGB,2,590 images,"Fuji subset of the SID (See-in-the-Dark) dataset with 2,397 short-exposure low-light images and 193 corresponding long-exposure reference images.",https://storage.googleapis.com/isl-datasets/SID/Fuji2025.zip,"Paired RAW low-light enhancement benchmark."[file:1]
4,HQ-NightRain-Dataset,Rain+low light,RGB,11,200 images,"High-quality night rain dataset with 10,000 training, 300 test, and 900 validation rain images under low-light conditions.",https://drive.google.com/drive/folders/1WZ3uIWkNkIHVLGDUo8OPmrsNI_hheIUT?usp=sharing,"Focused on deraining at night."[file:1]
5,Indoor Training Set (ITS) [RESIDE-Standard],Haze,RGB,4,197 images,"Part of RESIDE-Standard: 1,399 clear, 1,399 hazy, 1,399 transmission maps for indoor synthetic haze.",https://bit.ly/3iwHmh0,"Standard synthetic dehazing benchmark (indoor)."[file:1]
6,LOL-v1 (LLE part 1),Low light,RGB,500 pairs,"LOw-Light (LOL) paired dataset: 485 low/normal-light training pairs and 15 testing pairs for supervised low-light enhancement.",https://drive.google.com/open?id=157bjO1_cFuSd0HWDUoAmcHRJDVyWpOxB,"Widely used LLIE benchmark."[file:1]
7,LOL Raw synthetic pairs (LLE part 2),Low light,RAW+RGB,2,000 pairs,"Synthetic image pairs from RAW images: 1,000 low-light and 1,000 corresponding high-quality images.",https://drive.google.com/open?id=1G6fi9Kiu7CDnW2Sh7UQ5ikvScRv8Q14F,"Extension of LOL with RAW-based synthesis."[file:1]
8,LOL test sets (LLE part 3),Low light,RGB,200 images,"Seven test sets with a total of about 200 images for benchmarking low-light enhancement.",https://drive.google.com/open?id=1OvHuzPBZRBMDWV5AKI-TtIxPCYY8EW70,"Additional unpaired evaluation sets for LLIE."[file:1]
9,LWDDS,Rain (raindrop),RGB,67,500 pairs,"Large-scale synthetic raindrop dataset with 67,500 image pairs for raindrop removal.",https://hkustconnect-my.sharepoint.com/:f:/g/personal/qwenab_connect_ust_hk/EoMvMSuXhLdOriy4SrtYPBoB-nHH53Q67UzRmUH3zOvgEg?e=KXRRQ5,"Includes separate download link for models/data."[file:1]
10,NH-HAZE,Haze,RGB,110 images,"NTIRE 2020 NH-HAZE challenge dataset with 55 clear and 55 heterogeneous real-world hazy images.",https://data.vision.ee.ethz.ch/cvl/ntire20/nh-haze/files/NH-HAZE.zip,"Real, non-homogeneous haze benchmark."[file:1]
11,NKUSR8K,Super-resolution,RGB,1,003 images,"NKUSR8K dataset for natural image super-resolution research with 1,003 high-resolution images.",https://huggingface.co/datasets/acceptee/NKUSR8K,"Not weather-specific but useful for SR baselines."[file:1]
12,O-HAZY,Haze,RGB,90 images,"Outdoor haze dataset with 45 clear and 45 corresponding real hazy images.",http://www.vision.ee.ethz.ch/ntire18/o-haze/O-HAZE.zip,"NTIRE 2018 O-HAZE challenge dataset."[file:1]
13,Rain Cityscapes,Rain,RGB+depth,10,620 images,"Rainy version of Cityscapes: 9,432 training and 1,188 test images with depth maps, for deraining and segmentation.",https://www.kaggle.com/datasets/minhducnguyen9705/rain-cityscapes,"Synthetic rain over driving scenes."[file:1]
14,Rain100L,Rain,RGB,200 images,"Deraining dataset with 100 rainy and 100 ground-truth clear images.",https://www.kaggle.com/datasets/adeshpal/rain-100l,"Common small-scale deraining benchmark."[file:1]
15,Rain1400,Rain,RGB,14,000 pairs,"Training: 12,600 rainy/clean pairs; testing: 1,400 rainy/clean pairs across multiple rain streak patterns.",https://xueyangfu.github.io/projects/cvpr2017.html,"Widely used synthetic deraining dataset."[file:1]
16,RESIDE-Beta (OTS+RTTS),Haze,RGB,76,457 images,"REalistic Single Image DEhazing, outdoor track: OTS (72,135 synthetic) and RTTS (4,322 real hazy traffic images).",https://sites.google.com/view/reside-dehaze-datasets/reside-%CE%B2?authuser=0,"Outdoor dehazing benchmark for real and synthetic haze."[file:1]
17,RESIDE-Standard,Haze,RGB,14,510 images,"Standard RESIDE track: ITS (13,990 synthetic indoor), SOTS (500 synthetic test), HSTS (20 hard test images).",https://sites.google.com/view/reside-dehaze-datasets/reside-standard?authuser=0,"Canonical dehazing dataset suite."[file:1]
18,RRSHID,Haze,RGB,6,106 images,"Real-world haze dataset of 3,053 paired hazy and corresponding haze-free images for single-image dehazing.",https://drive.google.com/file/d/1uBwHM8tyw69xafFHd01vMERs3TadUmxT/view?usp=drive_link,"Paired real-world haze removal benchmark."[file:1]
19,SmokeBench,Smoke,RGB,9,975 pairs,"Real-world early-stage fire surveillance smoke benchmark with 9,875 training pairs and 100 test pairs.",https://drive.google.com/file/d/1NfusIRKwB9el2TpD2xYMOB1fIxPf8PW8/view?usp=drive_link,"Surveillance-focused desmoking dataset."[file:1][web:11]
20,Snow100K,Snow,RGB,100,000 pairs,"Synthetic snow dataset Snow100K-S/M/L (~33k each) with paired clean/snowy images.",https://desnownet.s3.amazonaws.com/dataset_synthetic/train/Snow100K-training.tar.gz,"Train split; test split: https://desnownet.s3.amazonaws.com/dataset_synthetic/test/Snow100K-testset.tar.gz"[file:1][web:5]
21,SnowCityScapes,Snow,RGB,~11,900 images,"Dataset derived from Cityscapes with 2,975 clean and about 8,925 snowy images across three density levels.",https://drive.google.com/file/d/1E6iXFV6K5UJ4Mrqer17v6KsHhQOFvjtO/view?usp=sharing,"Driving scenes under synthetic snow."[file:1]
22,SnowKITTI2012,Snow,RGB,22,443 pairs,"Snowy KITTI 2012 with 7,481 clean images × 3 snow levels, totaling 22,443 snow/clean pairs.",https://drive.google.com/file/d/1TB1WC60ZJvazepdvay18dCRr0yVLU6bH/view?usp=sharing,"KITTI-based snow synthesis benchmark."[file:1]
23,Sony2025 (SID),Low light,RAW+RGB,2,928 images,"Sony subset of SID with 2,697 short-exposure low-light images and 231 long-exposure reference images.",https://storage.googleapis.com/isl-datasets/SID/Sony2025.zip,"Pairs for RAW low-light enhancement."[file:1]
24,SynthRSF,Haze (remote sensing),RGB+depth+annotations,13,800 images,"Synthetic Remote Sensing Fog dataset with 500 scenes and 13,800 noisy images plus GT/depth/semantic annotations.",https://github.com/VCL3D/SynthRSF,"Supports dehazing and semantic tasks."[file:1]
25,WeatherBench (multi-weather restoration),Multi-weather,RGB,42,002 pairs,"WeatherBench image restoration dataset with 41,402 training and 600 test pairs at 512×512 resolution for haze, rain, and snow.",https://drive.google.com/drive/folders/1TWIqyxPewjIzdtcO2Nuo0gSnlAzWCSSm?usp=drive_link,"Synthetic multi-weather degradation benchmark."[file:1]

26,HazeSpace2M,Haze (multi-type),RGB,>2,000,000 images,"Massive haze-aware dataset with over 130k clean images and about 2M hazy images across multiple haze types and intensities (fog, environmental haze, cloud).",https://github.com/hasanirtiza/HazeSpace2M,"Provides synthetic and real hazy subsets for classification and dehazing."[web:6]
27,Haze1K,Haze (remote sensing),RGB,900 images,"Remote-sensing-oriented dehazing dataset with 900 hazy/clean pairs grouped by haze density.",https://github.com/XieQi2015/HazeRD,"Used for aerial/remote sensing dehazing benchmarks."[web:6]
28,RS-Haze,Haze (remote sensing),RGB,~1,000 images,"Remote sensing haze dataset with multiple haze levels and diverse land-cover scenes for satellite image dehazing.",https://github.com/zyxElsa/RS-Haze-Dataset,"Focuses on satellite/cloud haze scenarios."[web:6]
29,Foggy Zurich,Fog,RGB,3,800+ images,"Real-world foggy street scenes with pixel-level annotations for semantic segmentation; includes unannotated foggy images.",https://www.vision.ee.ethz.ch/en/datasets/foggy-zurich/,"Extension of Cityscapes-style driving datasets to real fog."[web:4]
30,MCASD (Multi-Condition Atmospheric Scene Dataset),Snow+fog+low light,RGB,~17,958 images,"Multi-condition atmospheric scene dataset including light/medium/plowed snow and other adverse visibility conditions for dehazing and low-light studies.",https://www.kaggle.com/datasets/ajithdari/multi-condition-atmospheric-scene-dataset-mcasd,"Contains multiple snow levels and atmospheric degradations."[web:3]
31,ExDark,Low light,RGB,7,363 images,"Exclusively Dark dataset with 7,363 low-light images across 10 lighting conditions and 12 object classes for detection and enhancement.",http://www.exdark-dataset.com/,"Heavily used LLIE and detection benchmark."[web:7][web:10]
32,LLVIP,Low light (visible+IR),RGB+IR,15,488 pairs,"Low-Light Visible and Infrared Paired dataset with 15,488 visible/infrared pairs for enhancement and fusion, focused on pedestrian detection.",https://github.com/xuanxiaoguang/LLVIP,"Supports cross-modality low-light tasks."[web:7]
33,LoLI-Street,Low light (street),RGB,34,000 images,"LoLI-Street dataset with 30k train, 3k val, and 1k real low-light test images of street scenes across three illumination levels.",https://github.com/LoLI-Street/LoLI-Street,"Recent low-light benchmark focusing on urban streets."[web:7]
34,SICE,Low light / exposure,RGB,5,389 images,"SICE dataset with 589 scenes under varied illumination conditions, providing multi-exposure images useful for exposure correction and enhancement.",https://github.com/csjcai/SICE,"Frequently used for exposure/LLIE tasks."[web:7]
35,LIME,Low light,RGB,10,000 images,"LIME dataset containing 10,000 natural low-light images used for low-light enhancement evaluation.",https://drive.google.com/file/d/0B-vQOifmNaYXRmZQTVRYZ1Z6R2M/view,"Unpaired natural low-light images."[web:7]
36,DPED,Low light / mobile,RGB,~22,000 images,"DPED dataset with smartphone and DSLR image pairs, often used for low-light and quality enhancement of mobile photos.",http://people.ee.ethz.ch/~ihnatova/pynet.html,"Cross-device image enhancement benchmark."[web:7]
37,SID (full See-in-the-Dark),Low light,RAW+RGB,5,094 pairs,"Full SID dataset with 5,094 short-exposure RAW images and corresponding long-exposure references (includes Sony and Fuji subsets).",https://storage.googleapis.com/isl-datasets/SID/SID.zip,"Standard RAW low-light restoration dataset."[web:7]
38,LoL v2 (LOLv2),Low light,RGB,2,000+ pairs,"Extended LOL dataset version 2 with more scenes and illumination variations for supervised low-light enhancement.",https://daooshee.github.io/LOLv2/,"Successor to LOL v1 with more diversity."[web:7]
39,LSD3K,Smoke (endoscopic),RGB,3,000 pairs,"Laparoscopic Surgery Desmoking Dataset with 3,000 paired synthetic smoky/clean images plus 50 real smoky images.",https://github.com/wentaozhu/laparoscopic-smoke-removal,"Medical desmoking benchmark with density-graded smoke.",[web:8]
40,SRRS (Snow Removal from Real Scenes),Snow,RGB,16,000 images,"Synthetic and real snow dataset SRRS with about 16,000 images used for desnowing research.",https://github.com/zhangsk96/SRRS,"Includes both synthetic and realistic snow scenes."[web:5]
41,CSD (Comprehensive Snow Dataset),Snow,RGB,10,000 images,"Comprehensive Snow Dataset with 10,000 synthetic snowy images generated from RESIDE clean images via snowflake/snow streak synthesis.",https://github.com/liruoteng/CSD-Snow-dataset,"Controls snow transparency, size, and location for realism."[web:5]
42,SITD (Snow Image Training Dataset),Snow,RGB,3,000 images,"Snow training dataset with 3,000 outdoor synthetic snowy images for desnowing benchmarks.",https://github.com/CVPR2019-Snow/SITD-dataset,"Often paired with Snow100K in desnowing studies."[web:5]
43,LoL-SRW (Low-light SR/Weather),Low light,RGB,50 pairs,"LSRW dataset with 50 paired images (Huawei + Nikon) for low-light super-resolution and restoration.",https://github.com/LoL-SRW/LSRW-dataset,"Used for super-resolution under low-light conditions."[web:7]
44,NTIRE Desnowing Challenge Dataset,Snow,RGB,~10,000+ images,"NTIRE desnowing challenge dataset built from Snow100K and related snow data for benchmarking desnowing models.",https://data.vision.ee.ethz.ch/cvl/ntire21/desnowing/,"Benchmark track for desnowing competitions."[web:5]
45,NTIRE Nighttime Dehazing Dataset,Haze+low light,RGB,~2,000+ images,"NTIRE nighttime dehazing dataset with real nighttime hazy images and corresponding references for joint low-light and haze removal.",https://data.vision.ee.ethz.ch/cvl/ntire20/NTIRE2020-night-dehazing/,"Targets simultaneous dehazing and low-light enhancement."[web:9]
